anyo,fallecidos,V1_siniestros,V2_parque,
1972,1792,-0.429058207,-0.794850461,
1973,1719,-0.497334631,-0.787020787,
1974,1269,-0.60507975,-0.780718212,
1975,1054,-0.641962056,-0.773890932,
1976,1079,-0.618537376,-0.764320233,
1977,1071,-0.578122443,-0.741690675,
1978,1207,-0.578437856,-0.706142366,
1979,1309,-0.538842997,-0.697283498,
1980,1434,-0.45263008,-0.608633704,
1981,1552,-0.285881682,-0.577669513,
1982,1274,0.171172943,-0.554297092,
1983,1363,0.01592661,-0.552599323,
1984,1210,-0.166634499,-0.545971393,
1985,1049,-0.344443383,-0.539338762,
1986,1191,-0.249461982,-0.530875774,
1987,1198,-0.301568227,-0.526419541,
1988,1248,-0.271372679,-0.51993078,
1989,1465,-0.208479305,-0.504691761,
1990,1587,-0.160915008,-0.478375161,
1991,1602,-0.142221524,-0.431374549,
1992,1700,-0.078423965,-0.34565906,
1993,1760,-0.048249444,-0.289415456,
1994,1762,-0.060886996,-0.273980377,
1995,1890,0.076927505,-0.194184748,
1996,1925,0.223804877,-0.124853133,
1997,1883,0.110655681,-0.04844646,
1998,1959,0.058002719,-0.031584898,
1999,1655,-0.001673442,0.025270863,
2000,1698,-0.130488156,0.017474571,
2001,1562,-0.04837561,0.039876099,
2002,1549,-0.113497903,0.059416667,
2003,1703,-0.056387103,0.048986505,
2004,1757,-0.010757339,0.097292297,
2005,1626,-0.016897381,0.122230841,
2006,1652,-0.048207389,0.266209767,
2007,1645,0.137739153,0.344576092,
2008,1782,0.209337929,0.437894634,
2009,1508,0.193420081,0.492451754,
2010,1595,0.223195079,0.603615446,
2011,1573,0.330183206,0.734887667,
2012,1523,0.308251481,0.884958064,
2013,1623,0.549752786,1.020916429,
2014,1630,0.658444144,1.164589747,
2015,1646,0.688618665,1.250379052,
2016,1675,0.937395499,1.349026926,
2017,1483,1.004010748,1.45705179,
2018,1507,0.886929401,1.601952712,
2019,1617,0.901059909,1.705160726,
